?country	?countryLabel	?capital	?capitalLabel	?area	?population	?continent	?continentLabel	?currency	?currencyLabel
<http://www.wikidata.org/entity/Q783>	"Honduras"@af	<http://www.wikidata.org/entity/Q3238>	"Tegucigalpa"@af	112492	8303771	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4719>	"Hondurese lempira"@af
<http://www.wikidata.org/entity/Q33>	"Finland"@af	<http://www.wikidata.org/entity/Q1757>	"Helsinki"@af	338424.38	5516224	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q35>	"Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	42925.46	5827463	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q35>	"Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	42925.46	5827463	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q36>	"Pole"@af	<http://www.wikidata.org/entity/Q270>	"Warskou"@af	312683	38382576	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q123213>	"Złoty"@af
<http://www.wikidata.org/entity/Q37>	"Litaue"@af	<http://www.wikidata.org/entity/Q216>	"Vilnius"@af	65300	2790842	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q17>	"Japan"@af	<http://www.wikidata.org/entity/Q1490>	"Tokio"@af	377972.28	125440000	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q8146>	"Jen"@af
<http://www.wikidata.org/entity/Q16>	"Kanada"@af	<http://www.wikidata.org/entity/Q1930>	"Ottawa"@af	9984670	36991981	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q1104069>	"Kanadese Dollar"@af
<http://www.wikidata.org/entity/Q45>	"Portugal"@af	<http://www.wikidata.org/entity/Q597>	"Lissabon"@af	92212	10347892	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q219060>	"Staat van Palestina"@af	<http://www.wikidata.org/entity/Q158119>	"Ramallah"@af	6020	5227193	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q131309>	"Nuwe sjekel"@af
<http://www.wikidata.org/entity/Q756617>	"Koninkryk van Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	2220930	5930987	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q29999>	"Koninkryk der Nederlande"@af	<http://www.wikidata.org/entity/Q727>	"Amsterdam"@af	42201	17100715	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q29999>	"Koninkryk der Nederlande"@af	<http://www.wikidata.org/entity/Q727>	"Amsterdam"@af	42201	17100715	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q20>	"Noorweë"@af	<http://www.wikidata.org/entity/Q585>	"Oslo"@af	385207	5425270	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q132643>	"Noorse kroon"@af
<http://www.wikidata.org/entity/Q145>	"Verenigde Koninkryk"@af	<http://www.wikidata.org/entity/Q84>	"Londen"@af	242495.406794	66022273	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25224>	"Pond sterling"@af
<http://www.wikidata.org/entity/Q756617>	"Koninkryk van Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	2220930	5930987	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q34>	"Swede"@af	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@af	528861.06	10409248	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q122922>	"Sweedse kroon"@af
<http://www.wikidata.org/entity/Q27>	"Republiek van Ierland"@af	<http://www.wikidata.org/entity/Q1761>	"Dublin"@af	70273	5123536	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q756617>	"Koninkryk van Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	2220930	5930987	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q29>	"Spanje"@af	<http://www.wikidata.org/entity/Q2807>	"Madrid"@af	505990	46733038	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q31>	"België"@af	<http://www.wikidata.org/entity/Q239>	"Brussel"@af	30688	11584008	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q756617>	"Koninkryk van Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	2220930	5930987	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q5401>	"Eurasië"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q28>	"Hongarye"@af	<http://www.wikidata.org/entity/Q1781>	"Boedapest"@af	93011.4	9769526	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q47190>	"Hongaarse forint"@af
<http://www.wikidata.org/entity/Q142>	"Frankryk"@af	<http://www.wikidata.org/entity/Q90>	"Parys"@af	643801	67063703	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q37>	"Litaue"@af	<http://www.wikidata.org/entity/Q216>	"Vilnius"@af	65300	2790842	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q211>	"Letland"@af	<http://www.wikidata.org/entity/Q1773>	"Riga"@af	64589	1909000	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q30>	"Verenigde State van Amerika"@af	<http://www.wikidata.org/entity/Q61>	"Washington"@af	9826675	331449281	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q236>	"Montenegro"@af	<http://www.wikidata.org/entity/Q23564>	"Podgorica"@af	13812	622359	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q38>	"Italië"@af	<http://www.wikidata.org/entity/Q220>	"Rome"@af	301338	60317000	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q36>	"Pole"@af	<http://www.wikidata.org/entity/Q270>	"Warskou"@af	312683	38382576	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q123213>	"Złoty"@af
<http://www.wikidata.org/entity/Q33>	"Finland"@af	<http://www.wikidata.org/entity/Q1757>	"Helsinki"@af	338424.38	5516224	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q96>	"Meksiko"@af	<http://www.wikidata.org/entity/Q1489>	"Meksikostad"@af	1972550	124777324	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4730>	"Meksikaanse peso"@af
<http://www.wikidata.org/entity/Q30>	"Verenigde State van Amerika"@af	<http://www.wikidata.org/entity/Q61>	"Washington"@af	9826675	331449281	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
<http://www.wikidata.org/entity/Q32>	"Luxemburg"@af	<http://www.wikidata.org/entity/Q1842>	"Luxemburg"@af	2586.4	645397	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q774>	"Guatemala"@af	<http://www.wikidata.org/entity/Q1555>	"Guatemala-stad"@af	108889	17263239	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q207396>	"Guatemalaanse quetzal"@af
<http://www.wikidata.org/entity/Q191>	"Estland"@af	<http://www.wikidata.org/entity/Q1770>	"Tallinn"@af	45339	1331796	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q145>	"Verenigde Koninkryk"@af	<http://www.wikidata.org/entity/Q84>	"Londen"@af	242495.406794	66022273	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25224>	"Pond sterling"@af
<http://www.wikidata.org/entity/Q41>	"Griekeland"@af	<http://www.wikidata.org/entity/Q1524>	"Athene"@af	131957	10432481	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q408>	"Australië"@af	<http://www.wikidata.org/entity/Q3114>	"Canberra"@af	7692024	24511800	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q259502>	"Australiese dollar"@af
<http://www.wikidata.org/entity/Q215>	"Slowenië"@af	<http://www.wikidata.org/entity/Q437>	"Ljubljana"@af	20273	2066880	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q40>	"Oostenryk"@af	<http://www.wikidata.org/entity/Q1741>	"Wene"@af	83878.99	8979894	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q183>	"Duitsland"@af	<http://www.wikidata.org/entity/Q64>	"Berlyn"@af	357587.77	83149300	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q43>	"Turkye"@af	<http://www.wikidata.org/entity/Q3640>	"Ankara"@af	783562	84680273	<http://www.wikidata.org/entity/Q5401>	"Eurasië"@af	<http://www.wikidata.org/entity/Q172872>	"Turkse lira"@af
<http://www.wikidata.org/entity/Q664>	"Nieu-Seeland"@af	<http://www.wikidata.org/entity/Q23661>	"Wellington"@af	268021	5118700	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q1472704>	"Nieu-Seelandse dollar"@af
<http://www.wikidata.org/entity/Q672>	"Tuvalu"@af	<http://www.wikidata.org/entity/Q34126>	"Funafuti"@af	26	11792	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q259502>	"Australiese dollar"@af
<http://www.wikidata.org/entity/Q39>	"Switserland"@af	<http://www.wikidata.org/entity/Q70>	"Bern"@af	41285	8466017	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25344>	"Switserse frank"@af
<http://www.wikidata.org/entity/Q801>	"Israel"@af	<http://www.wikidata.org/entity/Q1218>	"Jerusalem"@af	20770	9187000	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q131309>	"Nuwe sjekel"@af
<http://www.wikidata.org/entity/Q45>	"Portugal"@af	<http://www.wikidata.org/entity/Q597>	"Lissabon"@af	92212	10347892	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q148>	"Volksrepubliek China"@af	<http://www.wikidata.org/entity/Q956>	"Beijing"@af	9596961	1443497378	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q39099>	"Renminbi"@af
<http://www.wikidata.org/entity/Q77>	"Uruguay"@af	<http://www.wikidata.org/entity/Q1335>	"Montevideo"@af	176215	3456750	<http://www.wikidata.org/entity/Q18>	"Suid-Amerika"@af	<http://www.wikidata.org/entity/Q209272>	"Uruguaanse Peso"@af
<http://www.wikidata.org/entity/Q96>	"Meksiko"@af	<http://www.wikidata.org/entity/Q1489>	"Meksikostad"@af	1972550	124777324	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4730>	"Meksikaanse peso"@af
<http://www.wikidata.org/entity/Q115>	"Ethiopië"@af	<http://www.wikidata.org/entity/Q3624>	"Addis Abeba"@af	1104300	104957438	<http://www.wikidata.org/entity/Q15>	"Afrika"@af	<http://www.wikidata.org/entity/Q206243>	"Birr"@af
<http://www.wikidata.org/entity/Q142>	"Frankryk"@af	<http://www.wikidata.org/entity/Q90>	"Parys"@af	643801	67063703	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q145>	"Verenigde Koninkryk"@af	<http://www.wikidata.org/entity/Q84>	"Londen"@af	242495.406794	66022273	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25224>	"Pond sterling"@af
<http://www.wikidata.org/entity/Q148>	"Volksrepubliek China"@af	<http://www.wikidata.org/entity/Q956>	"Beijing"@af	9596961	1443497378	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q39099>	"Renminbi"@af
<http://www.wikidata.org/entity/Q917>	"Bhoetan"@af	<http://www.wikidata.org/entity/Q9270>	"Thimphu"@af	38394	807610	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q201799>	"Bhoetanese ngultrum"@af
<http://www.wikidata.org/entity/Q155>	"Brasilië"@af	<http://www.wikidata.org/entity/Q2844>	"Brasília"@af	8515767	213317639	<http://www.wikidata.org/entity/Q18>	"Suid-Amerika"@af	<http://www.wikidata.org/entity/Q173117>	"Real"@af
<http://www.wikidata.org/entity/Q159>	"Rusland"@af	<http://www.wikidata.org/entity/Q649>	"Moskou"@af	17075400	146804372	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q41044>	"Russiese roebel"@af
<http://www.wikidata.org/entity/Q183>	"Duitsland"@af	<http://www.wikidata.org/entity/Q64>	"Berlyn"@af	357587.77	83149300	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q159>	"Rusland"@af	<http://www.wikidata.org/entity/Q649>	"Moskou"@af	17075400	146804372	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q41044>	"Russiese roebel"@af
<http://www.wikidata.org/entity/Q191>	"Estland"@af	<http://www.wikidata.org/entity/Q1770>	"Tallinn"@af	45339	1331796	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
